Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month
San Diego;Puente de Vallecas;Apartment;Private room;6;1.5;1.0;4.0;25.0;;;2;12;1;45;19;46;72;345;14;73.0;8.0;8.0;9.0;9.0;8.0;8.0;strict;1.15
Quintana;Ciudad Lineal;House;Entire home/apt;7;2.0;3.0;4.0;70.0;;30.0;2;10;2;30;14;40;65;340;5;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.19
Sol;Centro;Apartment;Private room;2;3.0;1.0;1.0;42.0;;;2;15;1;1125;16;46;76;345;30;88.0;9.0;9.0;10.0;9.0;10.0;9.0;strict;0.54
Jerónimos;Retiro;Apartment;Entire home/apt;2;1.0;1.0;1.0;47.0;150.0;20.0;1;0;2;30;9;25;40;126;22;84.0;9.0;9.0;8.0;8.0;10.0;9.0;strict;3.86
Justicia;Centro;House;Private room;2;2.0;1.0;1.0;25.0;;;1;5;7;1125;6;34;64;65;0;;;;;;;;moderate;
Almagro;Chamberí;Apartment;Entire home/apt;2;1.0;1.0;1.0;121.0;;;1;0;7;1125;7;37;67;157;0;;;;;;;;strict;
Justicia;Centro;Apartment;Entire home/apt;6;2.0;2.0;3.0;90.0;200.0;70.0;4;15;3;1125;13;17;25;284;80;91.0;9.0;10.0;9.0;9.0;10.0;9.0;strict;2.66
Chopera;Arganzuela;Apartment;Entire home/apt;5;1.0;1.0;2.0;55.0;100.0;25.0;2;15;2;31;8;33;58;149;2;80.0;8.0;10.0;10.0;10.0;9.0;10.0;strict;0.5
les Corts;Les Corts;Apartment;Entire home/apt;4;1.0;1.0;1.0;70.0;;;1;0;2;2;0;2;6;6;0;;;;;;;;strict;
Alexanderplatz;Mitte;Apartment;Private room;1;1.0;1.0;1.0;75.0;;30.0;1;0;1;1125;30;60;90;365;5;92.0;9.0;10.0;10.0;10.0;10.0;10.0;moderate;0.21
Valdeacederas;Tetuán;House;Private room;2;2.0;1.0;1.0;19.0;;5.0;1;10;2;1125;8;30;60;150;7;97.0;9.0;10.0;10.0;10.0;9.0;10.0;flexible;1.44
Almenara;Tetuán;House;Private room;1;2.0;1.0;1.0;30.0;;;1;0;1;1125;30;60;90;365;0;;;;;;;;flexible;
Palacio;Centro;Apartment;Entire home/apt;4;1.0;0.0;2.0;42.0;;;1;0;4;1125;0;0;0;0;18;99.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;2.01
Universidad;Centro;Apartment;Private room;1;1.0;1.0;1.0;27.0;200.0;70.0;1;0;3;3;30;60;90;365;0;;;;;;;;strict;
Universidad;Centro;Apartment;Entire home/apt;4;1.0;0.0;3.0;55.0;;;1;0;1;1125;9;35;58;330;99;87.0;9.0;9.0;9.0;9.0;10.0;9.0;flexible;5.05
Sol;Centro;Bed & Breakfast;Shared room;2;1.0;1.0;1.0;35.0;;;1;94;1;1125;29;59;89;364;0;;;;;;;;flexible;
Ciudad Universitaria;Moncloa - Aravaca;Apartment;Entire home/apt;4;1.0;2.0;3.0;130.0;;20.0;1;0;1;1125;25;55;85;360;4;90.0;9.0;9.0;10.0;10.0;9.0;9.0;strict;0.21
Valdeacederas;Tetuán;Apartment;Entire home/apt;4;1.0;1.0;1.0;95.0;150.0;40.0;2;8;3;365;10;27;52;300;0;;;;;;;;strict;
Universidad;Centro;House;Private room;6;5.0;1.0;7.0;28.0;;;1;28;1;1125;16;46;76;351;77;85.0;8.0;9.0;9.0;9.0;10.0;9.0;flexible;1.39
Castellana;Salamanca;Apartment;Shared room;2;1.0;1.0;2.0;35.0;;;1;0;1;1125;10;40;70;324;24;98.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;3.41
Salvador;San Blas - Canillejas;House;Private room;2;1.0;1.0;1.0;25.0;100.0;25.0;2;0;2;1125;4;34;64;88;2;60.0;6.0;6.0;8.0;7.0;8.0;4.0;strict;0.12
Cuatro Caminos;Tetuán;Apartment;Entire home/apt;6;1.0;2.0;3.0;125.0;600.0;40.0;1;0;1;10;5;20;50;50;0;;;;;;;;flexible;
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;50.0;;30.0;1;10;2;365;16;44;72;347;159;94.0;10.0;10.0;10.0;10.0;9.0;9.0;moderate;2.2
Embajadores;Centro;Apartment;Private room;1;1.0;1.0;1.0;25.0;100.0;10.0;1;10;1;1125;0;0;4;279;9;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.29
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;35.0;120.0;20.0;1;0;1;1125;0;0;0;216;7;87.0;9.0;9.0;10.0;9.0;10.0;9.0;flexible;0.32
Recoletos;Salamanca;Apartment;Entire home/apt;2;1.0;1.0;1.0;60.0;;20.0;2;10;2;1125;7;13;39;314;63;89.0;9.0;9.0;10.0;9.0;10.0;9.0;strict;2.94
Palacio;Centro;Apartment;Entire home/apt;4;1.0;2.0;3.0;85.0;200.0;32.0;2;20;3;1125;6;12;18;80;27;99.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;4.38
San Diego;Puente de Vallecas;Apartment;Private room;1;1.0;1.0;1.0;12.0;200.0;20.0;1;0;30;1125;0;0;0;218;0;;;;;;;;flexible;
Cortes;Centro;Apartment;Entire home/apt;12;2.0;4.0;6.0;160.0;200.0;50.0;6;10;3;1125;15;29;42;265;3;93.0;8.0;9.0;10.0;9.0;10.0;8.0;strict;0.13
Universidad;Centro;House;Shared room;1;1.0;1.0;1.0;23.0;;;1;0;1;1125;0;0;0;8;0;;;;;;;;flexible;
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;4;1.0;2.0;2.0;65.0;150.0;25.0;1;0;4;1125;0;0;0;0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.11
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;3;1.0;0.0;1.0;55.0;200.0;30.0;2;10;5;180;0;0;0;0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.04
Nueva España;Chamartín;Condominium;Entire home/apt;4;1.0;2.0;3.0;120.0;;;1;0;1;1125;0;0;0;0;0;;;;;;;;flexible;
San Juan Bautista;Ciudad Lineal;Apartment;Private room;2;2.0;1.0;1.0;50.0;100.0;;1;0;1;1125;20;50;80;317;16;100.0;10.0;10.0;10.0;10.0;9.0;10.0;moderate;3.58
Cortes;Centro;Apartment;Private room;5;1.0;1.0;4.0;20.0;;12.0;1;15;3;730;8;38;68;343;30;73.0;7.0;7.0;9.0;8.0;10.0;8.0;moderate;0.54
Simancas;San Blas - Canillejas;Loft;Entire home/apt;4;1.0;1.0;1.0;50.0;;;1;0;1;1125;0;0;0;0;0;;;;;;;;flexible;
Embajadores;Centro;Apartment;Private room;1;1.0;2.0;3.0;23.0;250.0;15.0;1;15;3;365;10;40;70;70;2;100.0;10.0;10.0;10.0;10.0;9.0;9.0;moderate;0.56
Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;27.0;;6.0;1;6;1;3;9;19;40;41;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.0
Puerta del Angel;Latina;Apartment;Entire home/apt;5;1.0;2.0;2.0;41.0;150.0;80.0;4;5;3;1125;0;0;12;287;0;;;;;;;;moderate;
Cortes;Centro;Apartment;Private room;2;1.0;1.0;1.0;55.0;100.0;30.0;1;20;2;90;18;48;78;353;26;91.0;9.0;10.0;9.0;9.0;10.0;9.0;moderate;0.72
Comillas;Carabanchel;Apartment;Private room;1;1.0;1.0;1.0;22.0;;;1;0;1;1125;12;40;70;70;63;99.0;10.0;10.0;10.0;10.0;9.0;10.0;moderate;3.4
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;0.0;2.0;50.0;;20.0;2;8;3;1125;2;18;42;317;35;94.0;9.0;10.0;10.0;10.0;9.0;9.0;moderate;1.82
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;4;2.0;2.0;3.0;110.0;300.0;;2;20;3;1125;7;37;62;90;0;;;;;;;;moderate;
Berruguete;Tetuán;Apartment;Entire home/apt;4;1.0;3.0;3.0;58.0;;;2;5;2;1125;0;0;3;278;45;89.0;10.0;10.0;10.0;10.0;8.0;9.0;moderate;1.77
Justicia;Centro;House;Private room;2;1.0;1.0;1.0;31.0;;;1;0;1;1125;9;9;9;91;14;91.0;9.0;9.0;9.0;9.0;10.0;9.0;flexible;5.25
Palacio;Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;100.0;200.0;35.0;2;20;3;1125;11;20;37;312;32;97.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.58
Embajadores;Centro;Apartment;Entire home/apt;12;2.0;3.0;12.0;128.0;250.0;50.0;12;0;2;1125;12;29;46;312;13;97.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.09
Los Rosales;Villaverde;Condominium;Private room;2;1.0;1.0;1.0;20.0;85.0;;1;0;2;1125;18;48;74;75;77;88.0;9.0;9.0;10.0;10.0;9.0;9.0;moderate;4.57
Cuatro Caminos;Tetuán;Apartment;Entire home/apt;4;2.0;2.0;3.0;125.0;;45.0;4;0;2;1125;6;13;19;86;38;99.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;4.91
Casa de Campo;Moncloa - Aravaca;Apartment;Private room;3;1.0;1.0;2.0;20.0;;;1;15;1;31;8;36;66;156;12;90.0;10.0;10.0;9.0;9.0;8.0;10.0;strict;4.5
Cuatro Caminos;Tetuán;Apartment;Entire home/apt;5;1.0;3.0;4.0;150.0;;;1;0;2;31;12;28;28;215;8;90.0;10.0;9.0;10.0;10.0;9.0;9.0;flexible;0.44
Haringey;;Apartment;Private room;2;1.0;1.0;1.0;44.0;200.0;16.0;1;6;1;1125;8;28;58;142;19;98.0;10.0;10.0;10.0;10.0;9.0;10.0;strict;1.81
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;4;1.0;2.0;3.0;105.0;;30.0;1;10;3;1125;4;14;16;85;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.31
Palacio;Centro;Condominium;Entire home/apt;3;1.0;1.0;2.0;45.0;;;1;0;4;1125;3;12;26;100;51;94.0;10.0;10.0;10.0;10.0;10.0;9.0;strict;6.4
San Isidro;Carabanchel;Apartment;Private room;1;1.0;1.0;1.0;20.0;;;1;0;2;1125;0;2;32;117;5;92.0;10.0;10.0;10.0;10.0;8.0;9.0;moderate;0.94
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;80.0;200.0;49.0;2;10;2;1125;1;1;1;119;5;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.63
Dublin City;;Apartment;Entire home/apt;3;1.0;1.0;2.0;70.0;;20.0;2;15;2;1125;11;26;50;288;73;91.0;9.0;10.0;10.0;10.0;9.0;9.0;flexible;4.99
Bellas Vistas;Tetuán;Apartment;Entire home/apt;5;1.0;2.0;3.0;50.0;200.0;;4;10;2;1125;10;18;41;311;38;94.0;9.0;9.0;10.0;9.0;9.0;9.0;strict;3.02
Estrella;Retiro;House;Private room;2;1.0;1.0;1.0;45.0;;;1;0;1;1125;30;60;90;365;4;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.25
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;85.0;200.0;20.0;1;0;4;10;0;0;0;21;1;80.0;6.0;8.0;4.0;8.0;10.0;8.0;strict;0.12
Universidad;Centro;Apartment;Entire home/apt;5;1.0;2.0;3.0;73.0;;10.0;4;0;1;1125;3;13;22;291;27;90.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;5.51
Cortes;Centro;Apartment;Entire home/apt;4;2.0;2.0;3.0;130.0;200.0;60.0;2;10;2;1000;4;22;37;305;0;;;;;;;;strict;
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;150.0;250.0;30.0;1;0;1;1125;21;51;81;138;1;80.0;8.0;8.0;10.0;10.0;10.0;8.0;strict;0.15
el Camp de l'Arpa del Clot;Sant Martí;Apartment;Entire home/apt;5;1.0;2.0;3.0;106.0;;;1;0;2;1125;0;0;0;128;0;;;;;;;;strict;
Sol;Centro;Apartment;Private room;2;1.0;1.0;1.0;40.0;;;1;0;2;1125;16;41;63;321;3;87.0;10.0;9.0;10.0;9.0;10.0;9.0;flexible;3.0
Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;65.0;100.0;;1;0;5;1125;1;1;6;281;2;100.0;10.0;9.0;10.0;10.0;10.0;10.0;flexible;0.58
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;5;1.0;2.0;2.0;70.0;;27.0;3;10;1;1125;0;0;24;24;0;;;;;;;;flexible;
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;47.0;;19.0;1;9;1;1125;22;52;82;357;9;84.0;10.0;9.0;10.0;9.0;10.0;9.0;moderate;1.29
Zuid;;Apartment;Private room;2;1.0;1.0;1.0;100.0;200.0;10.0;1;20;1;1125;0;0;0;0;0;;;;;;;;flexible;
Ibiza;Retiro;House;Private room;3;2.0;1.0;1.0;38.0;;15.0;1;15;2;1125;18;46;76;351;19;91.0;9.0;9.0;9.0;10.0;10.0;9.0;strict;0.69
Adelfas;Retiro;Loft;Entire home/apt;2;1.0;1.0;1.0;50.0;;;1;0;1;2;0;0;0;0;1;80.0;10.0;8.0;10.0;10.0;10.0;8.0;moderate;0.48
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;2;1.0;0.0;2.0;32.0;90.0;60.0;1;5;3;1125;0;26;56;331;1;;;;;;;;moderate;0.12
Numancia;Puente de Vallecas;Apartment;Entire home/apt;1;1.0;0.0;1.0;40.0;;;1;0;1;8;30;60;90;91;0;;;;;;;;flexible;
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;55.0;;10.0;1;0;1;1125;2;7;19;58;130;92.0;10.0;10.0;10.0;10.0;9.0;9.0;moderate;7.54
Numancia;Puente de Vallecas;Condominium;Entire home/apt;2;1.0;1.0;1.0;49.0;150.0;;2;0;2;1125;15;44;70;241;9;91.0;9.0;10.0;10.0;10.0;9.0;9.0;strict;0.84
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;4;1.0;1.0;2.0;55.0;200.0;;2;5;5;1000;2;18;39;294;0;;;;;;;;moderate;
Goya;Salamanca;Apartment;Entire home/apt;5;1.0;2.0;2.0;140.0;;;1;0;3;30;4;17;27;114;0;;;;;;;;flexible;
Valdemarín;Moncloa - Aravaca;Apartment;Entire home/apt;7;2.0;2.0;3.0;71.0;;;1;0;1;1125;0;5;35;125;0;;;;;;;;flexible;
Puerta del Angel;Latina;Apartment;Entire home/apt;5;1.0;2.0;3.0;48.0;150.0;90.0;4;5;3;1125;0;0;0;251;0;;;;;;;;moderate;
Sol;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;60.0;;7.0;1;0;1;1125;6;21;48;323;41;86.0;9.0;8.0;9.0;9.0;10.0;9.0;strict;6.31
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;85.0;200.0;30.0;1;0;3;1125;12;37;62;148;44;95.0;9.0;10.0;10.0;10.0;10.0;10.0;moderate;2.09
Legazpi;Arganzuela;Bed & Breakfast;Private room;1;1.0;1.0;1.0;30.0;;;1;10;4;15;0;0;11;286;5;100.0;10.0;9.0;10.0;10.0;10.0;10.0;moderate;0.27
Justicia;Centro;Apartment;Entire home/apt;4;1.0;2.0;3.0;89.0;;25.0;3;0;2;1125;6;22;43;318;120;92.0;9.0;9.0;9.0;10.0;10.0;9.0;moderate;3.89
Cortes;Centro;Apartment;Entire home/apt;5;1.0;1.0;3.0;70.0;100.0;30.0;3;5;2;365;0;5;18;281;201;93.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;4.37
Trafalgar;Chamberí;Apartment;Entire home/apt;3;1.0;1.0;1.0;49.0;;30.0;1;10;1;28;9;35;60;150;30;77.0;8.0;8.0;8.0;8.0;9.0;8.0;moderate;1.76
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;80.0;200.0;25.0;1;0;2;365;7;21;36;249;1;80.0;8.0;6.0;10.0;10.0;10.0;8.0;strict;0.05
Guindalera;Salamanca;Apartment;Entire home/apt;4;1.0;2.0;4.0;50.0;;;1;0;2;7;19;49;79;354;0;;;;;;;;flexible;
la Sagrada Família;Eixample;Apartment;Entire home/apt;4;1.0;1.0;1.0;100.0;;;1;0;2;1125;0;2;2;2;1;80.0;10.0;10.0;10.0;8.0;10.0;10.0;strict;0.43
Ventas;Ciudad Lineal;House;Private room;2;1.0;1.0;1.0;30.0;;;1;0;1;1125;25;55;85;360;15;88.0;9.0;9.0;9.0;10.0;8.0;9.0;flexible;1.31
Guindalera;Salamanca;Apartment;Entire home/apt;4;1.0;1.0;2.0;50.0;100.0;40.0;4;30;2;1125;0;0;0;129;0;;;;;;;;flexible;
Embajadores;Centro;Apartment;Entire home/apt;6;2.0;2.0;4.0;125.0;200.0;40.0;4;20;3;1125;5;11;20;287;37;98.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;3.88
Justicia;Centro;House;Private room;2;1.0;1.0;1.0;36.0;80.0;;1;0;2;90;6;9;9;72;96;94.0;10.0;9.0;10.0;10.0;10.0;10.0;moderate;2.23
Palacio;Centro;Apartment;Entire home/apt;4;2.0;2.0;2.0;90.0;150.0;40.0;2;10;3;38;8;17;30;299;13;92.0;9.0;9.0;10.0;10.0;9.0;9.0;strict;0.3
Embajadores;Centro;Apartment;Entire home/apt;6;1.0;2.0;6.0;125.0;100.0;30.0;5;15;2;1125;5;8;38;313;25;94.0;10.0;10.0;10.0;10.0;10.0;9.0;moderate;1.85
Acacias;Arganzuela;Apartment;Private room;1;1.0;1.0;1.0;17.0;;;1;0;1;15;15;41;71;75;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.0
Puerta del Angel;Latina;Apartment;Entire home/apt;7;1.0;2.0;2.0;35.0;;15.0;2;8;1;1125;6;12;29;183;42;84.0;9.0;8.0;9.0;10.0;9.0;8.0;strict;3.8
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;48.0;150.0;20.0;1;7;1;1125;11;41;71;346;5;87.0;9.0;9.0;9.0;10.0;10.0;9.0;moderate;0.16
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;75.0;220.0;20.0;2;5;1;1125;3;10;24;108;9;96.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;2.62
Sol;Centro;Apartment;Entire home/apt;4;1.0;0.0;2.0;155.0;300.0;30.0;2;0;3;60;16;46;66;341;89;97.0;10.0;10.0;10.0;10.0;10.0;9.0;strict;1.47
Recoletos;Salamanca;Apartment;Entire home/apt;2;1.0;0.0;1.0;75.0;150.0;24.0;1;0;2;1125;16;23;48;138;11;89.0;9.0;9.0;10.0;10.0;10.0;9.0;flexible;2.48
Fuente del Berro;Salamanca;Apartment;Private room;2;1.0;1.0;1.0;39.0;;8.0;1;0;2;1125;22;52;80;80;24;97.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.88
Justicia;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;50.0;;;1;0;2;15;10;15;36;83;105;89.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;3.38
Acacias;Arganzuela;Apartment;Entire home/apt;2;1.0;1.0;1.0;120.0;400.0;;1;0;2;1125;16;43;73;287;52;98.0;10.0;10.0;10.0;10.0;9.0;10.0;moderate;2.21
Lista;Salamanca;Apartment;Entire home/apt;2;1.0;0.0;1.0;60.0;100.0;40.0;1;5;2;1125;18;41;71;346;4;55.0;7.0;8.0;6.0;6.0;9.0;6.0;strict;0.45
Castellana;Salamanca;Condominium;Entire home/apt;8;2.0;3.0;4.0;161.0;250.0;60.0;1;20;1;30;16;38;65;141;25;93.0;10.0;10.0;9.0;9.0;10.0;9.0;strict;2.33
Binissalem;;House;Entire home/apt;12;2.0;4.0;4.0;140.0;;90.0;8;25;5;1125;30;49;63;247;2;90.0;9.0;10.0;10.0;9.0;10.0;10.0;strict;0.23
Dorsoduro;Isole;Apartment;Entire home/apt;4;1.0;2.0;2.0;120.0;;50.0;2;10;3;1125;0;14;33;294;22;92.0;9.0;9.0;10.0;9.0;10.0;9.0;strict_new;1.08
Delicias;Arganzuela;Apartment;Private room;1;1.0;1.0;1.0;15.0;;10.0;1;0;3;1125;7;17;23;23;31;87.0;9.0;10.0;9.0;9.0;9.0;9.0;strict;2.21
San Isidro;Carabanchel;Apartment;Private room;2;1.0;1.0;1.0;25.0;;10.0;2;10;1;31;26;56;86;86;0;;;;;;;;flexible;
Lucero;Latina;Apartment;Private room;1;1.0;1.0;1.0;27.0;;;1;0;2;30;28;58;88;363;0;;;;;;;;flexible;
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;65.0;300.0;25.0;2;7;2;1125;4;16;36;265;53;97.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;3.35
Universidad;Centro;Apartment;Private room;2;3.0;1.0;1.0;25.0;;15.0;1;5;10;1125;0;0;6;62;0;;;;;;;;strict;
Justicia;Centro;Apartment;Private room;2;1.0;1.0;1.0;30.0;100.0;20.0;1;0;2;1125;0;0;19;19;0;;;;;;;;strict;
Prosperidad;Chamartín;Apartment;Private room;1;1.5;1.0;1.0;20.0;100.0;;1;0;1;1125;0;0;0;0;0;;;;;;;;flexible;
Palacio;Centro;Apartment;Entire home/apt;3;1.0;0.0;2.0;59.0;200.0;35.0;2;25;1;60;14;31;58;117;20;98.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;7.59
Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;59.0;100.0;35.0;1;5;3;90;11;38;62;152;75;94.0;9.0;10.0;10.0;10.0;10.0;9.0;moderate;1.67
Justicia;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;65.0;100.0;24.0;2;7;2;1125;6;25;49;310;67;91.0;10.0;9.0;10.0;10.0;10.0;9.0;flexible;3.72
Pacífico;Retiro;Apartment;Private room;1;3.0;1.0;1.0;27.0;100.0;5.0;1;0;3;30;0;6;36;126;0;;;;;;;;moderate;
Opañel;Carabanchel;Apartment;Private room;2;1.0;1.0;1.0;40.0;;;1;0;1;1125;14;44;74;349;3;93.0;10.0;10.0;10.0;10.0;9.0;9.0;flexible;0.28
Cuatro Caminos;Tetuán;Apartment;Entire home/apt;2;1.0;1.0;1.0;49.0;;20.0;1;0;2;1125;0;11;32;210;5;88.0;9.0;10.0;10.0;10.0;8.0;9.0;moderate;0.72
Ciudad Jardín;Chamartín;Apartment;Entire home/apt;4;1.0;1.0;1.0;65.0;120.0;;2;15;3;1125;9;25;44;216;24;93.0;10.0;10.0;10.0;10.0;9.0;10.0;moderate;1.93
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;2.0;2.0;115.0;200.0;45.0;2;0;3;365;11;34;61;336;7;89.0;9.0;9.0;9.0;9.0;10.0;8.0;strict;0.15
Embajadores;Centro;Apartment;Entire home/apt;7;2.5;3.0;4.0;165.0;200.0;50.0;4;10;2;1125;20;37;60;327;2;100.0;10.0;10.0;10.0;10.0;9.0;10.0;strict;0.29
Palacio;Centro;Apartment;Entire home/apt;6;2.0;2.0;2.0;100.0;;30.0;4;21;1;1125;11;20;34;264;38;96.0;10.0;10.0;10.0;10.0;9.0;9.0;strict;2.01
Goya;Salamanca;Apartment;Entire home/apt;3;1.0;2.0;2.0;45.0;;18.0;2;18;1;1125;6;16;42;43;48;95.0;10.0;10.0;10.0;10.0;10.0;9.0;moderate;7.5
Goya;Salamanca;Loft;Private room;2;1.0;1.0;1.0;60.0;;;1;0;1;1125;0;0;0;0;0;;;;;;;;strict;
Wandsworth;;Apartment;Entire home/apt;4;1.0;1.0;1.0;80.0;;;2;10;3;15;0;0;0;0;8;90.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;0.2
Imperial;Arganzuela;Apartment;Private room;2;1.0;1.0;1.0;28.0;;;1;5;2;1125;0;21;46;321;10;94.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;2.97
Concepción;Ciudad Lineal;House;Private room;1;1.0;1.0;1.0;20.0;;;1;0;1;1125;30;60;90;180;1;80.0;10.0;10.0;8.0;10.0;10.0;10.0;flexible;0.71
Palacio;Centro;Apartment;Entire home/apt;5;1.0;2.0;4.0;100.0;250.0;30.0;2;10;2;1125;3;5;7;145;25;97.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;3.07
Embajadores;Centro;Apartment;Private room;3;1.0;1.0;1.0;30.0;;;2;14;2;1125;4;4;5;5;2;100.0;10.0;9.0;10.0;10.0;10.0;10.0;flexible;0.66
Universidad;Centro;Apartment;Private room;2;2.0;1.0;1.0;23.0;;;1;0;1;1125;0;4;4;6;0;;;;;;;;strict;
Universidad;Centro;Apartment;Entire home/apt;3;1.0;2.0;2.0;85.0;100.0;;3;15;3;7;0;0;1;1;4;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.21
Arapiles;Chamberí;Apartment;Entire home/apt;4;1.0;1.0;4.0;70.0;;;1;0;2;30;7;25;41;314;20;82.0;9.0;9.0;9.0;9.0;9.0;8.0;flexible;0.89
Puerta Bonita;Carabanchel;House;Private room;1;1.0;1.0;1.0;14.0;200.0;;1;12;1;1125;6;6;22;169;0;;;;;;;;flexible;
Palma de Mallorca;;Apartment;Entire home/apt;4;1.0;2.0;3.0;55.0;150.0;75.0;2;13;4;1125;13;29;59;334;0;;;;;;;;strict;
Embajadores;Centro;Apartment;Entire home/apt;6;1.0;2.0;4.0;89.0;100.0;40.0;4;20;2;30;3;6;13;224;58;98.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;5.98
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;2.0;35.0;;25.0;1;6;4;1125;6;26;45;320;12;77.0;9.0;9.0;8.0;9.0;10.0;9.0;strict;0.94
Sol;Centro;Apartment;Entire home/apt;6;2.0;2.0;4.0;150.0;;20.0;2;15;2;180;2;4;16;274;43;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.23
Universidad;Centro;Apartment;Private room;2;1.0;1.0;1.0;35.0;;;1;15;2;1125;26;56;86;86;9;84.0;9.0;8.0;10.0;10.0;10.0;8.0;strict;0.53
San Diego;Puente de Vallecas;House;Shared room;2;1.0;1.0;1.0;18.0;;;1;10;1;1125;30;60;90;365;3;93.0;9.0;9.0;10.0;10.0;8.0;9.0;flexible;0.26
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;60.0;250.0;20.0;2;25;1;1125;9;17;35;288;7;97.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;5.68
Imperial;Arganzuela;Apartment;Entire home/apt;4;1.0;1.0;2.0;55.0;300.0;;2;10;3;1125;4;13;34;264;88;93.0;9.0;9.0;10.0;10.0;9.0;9.0;moderate;4.39
Palma de Mallorca;;Apartment;Entire home/apt;7;1.5;3.0;4.0;80.0;250.0;125.0;4;0;1;1125;16;28;58;323;57;92.0;10.0;10.0;9.0;9.0;10.0;9.0;strict;1.32
Recoletos;Salamanca;House;Private room;1;1.0;1.0;1.0;35.0;;20.0;1;0;2;1125;29;59;89;364;0;;;;;;;;flexible;
Simancas;San Blas - Canillejas;Apartment;Entire home/apt;3;1.0;1.0;2.0;49.0;;;2;5;1;1125;7;17;33;295;126;92.0;9.0;9.0;10.0;10.0;9.0;9.0;moderate;13.08
